Year,Enrolments,Citizenship,State,Institution
2023,18712,Domestic,New South Wales,The University of New England
2023,1411,International,New South Wales,The University of New England
2023,28271,Domestic,New South Wales,The University of Newcastle
2023,5848,International,New South Wales,The University of Newcastle
2023,38560,Domestic,New South Wales,The University of Sydney
2023,37528,International,New South Wales,The University of Sydney
2023,42607,Domestic,New South Wales,University of New South Wales
2023,27735,International,New South Wales,University of New South Wales
2023,34852,Domestic,New South Wales,University of Technology Sydney
2023,12925,International,New South Wales,University of Technology Sydney
2023,18735,Domestic,New South Wales,University of Wollongong
2023,15346,International,New South Wales,University of Wollongong
2023,36253,Domestic,New South Wales,Western Sydney University
2023,10356,International,New South Wales,Western Sydney University
2023,28,Domestic,Northern Territory,Charles Darwin University
2023,3439,International,Northern Territory,Charles Darwin University
2023,186826,Domestic,Queensland,Bond University
2023,2219,International,Queensland,Bond University
2023,3498,Domestic,Queensland,CQUniversity
2023,5172,International,Queensland,CQUniversity
2023,9572,Domestic,Queensland,Charles Darwin University
2023,61223,International,Queensland,Charles Darwin University
2023,16737,Domestic,Queensland,Griffith University
2023,9255,International,Queensland,Griffith University
2023,36266,Domestic,Queensland,James Cook University
2023,7857,International,Queensland,James Cook University
2023,12503,Domestic,Queensland,Non-University Higher Education Providers
2023,1153,International,Queensland,Non-University Higher Education Providers
2023,6581,Domestic,Queensland,Queensland University of Technology
2023,9748,International,Queensland,Queensland University of Technology
2023,42379,Domestic,Queensland,The University of Queensland
2023,21531,International,Queensland,The University of Queensland
2023,33881,Domestic,Queensland,University of Southern Queensland
2023,2367,International,Queensland,University of Southern Queensland
2023,18915,Domestic,Queensland,University of the Sunshine Coast
2023,1921,International,Queensland,University of the Sunshine Coast
2023,86675,Domestic,South Australia,Carnegie Mellon University Australia
2023,13,International,South Australia,Carnegie Mellon University Australia
2023,6970,International,South Australia,Flinders University
2023,19479,Domestic,South Australia,Private Universities and Non-University Higher Education Providers
2023,3182,International,South Australia,Private Universities and Non-University Higher Education Providers
2023,4403,Domestic,South Australia,The University of Adelaide
2023,9026,International,South Australia,The University of Adelaide
2023,21148,Domestic,South Australia,Torrens University Australia
2023,11361,International,South Australia,Torrens University Australia
2023,13472,Domestic,South Australia,University of South Australia
2023,6407,International,South Australia,University of South Australia
2023,16066,Domestic,South Australia,University of the Sunshine Coast
2023,36959,International,South Australia,University of the Sunshine Coast
2023,28173,Domestic,Tasmania,University of South Australia
2023,5441,International,Tasmania,University of South Australia
2023,26072,Domestic,Tasmania,University of Tasmania
2023,5441,International,Tasmania,University of Tasmania
2023,262171,Domestic,Victoria,Deakin University
2023,14236,International,Victoria,Deakin University
2023,43355,Domestic,Victoria,Federation University Australia
2023,5422,International,Victoria,Federation University Australia
2023,7788,Domestic,Victoria,La Trobe University
2023,9733,International,Victoria,La Trobe University
2023,26441,Domestic,Victoria,Monash University
2023,35897,International,Victoria,Monash University
2023,48299,Domestic,Victoria,Non-University Higher Education Providers
2023,21514,International,Victoria,Non-University Higher Education Providers
2023,6756,Domestic,Victoria,RMIT University
2023,35646,International,Victoria,RMIT University
2023,37681,Domestic,Victoria,Swinburne University of Technology
2023,15370,International,Victoria,Swinburne University of Technology
2023,29957,Domestic,Victoria,The University of Melbourne
2023,30024,International,Victoria,The University of Melbourne
2023,42220,Domestic,Victoria,University of Divinity
2023,145,International,Victoria,University of Divinity
2023,26072,Domestic,Victoria,University of Tasmania
2023,182742,International,Victoria,University of Tasmania
2023,1137,Domestic,Victoria,Victoria University
2023,14755,International,Victoria,Victoria University
2023,102194,Domestic,Western Australia,Curtin University
2023,14766,International,Western Australia,Curtin University
2023,37371,Domestic,Western Australia,Edith Cowan University
2023,8452,International,Western Australia,Edith Cowan University
2023,21266,Domestic,Western Australia,Murdoch University
2023,12714,International,Western Australia,Murdoch University
2023,11391,Domestic,Western Australia,Non-University Higher Education Providers
2023,6413,International,Western Australia,Non-University Higher Education Providers
2023,1037,Domestic,Western Australia,The University of Notre Dame Australia
2023,581,International,Western Australia,The University of Notre Dame Australia
2023,10800,Domestic,Western Australia,The University of Western Australia
2023,6752,International,Western Australia,The University of Western Australia
2023,18537,Domestic,Western Australia,Victoria University
2023,49678,International,Western Australia,Victoria University
