Year,Enrolments,Citizenship,State,Institution
2019,12839,Domestic,Australian Capital Territory,University of Canberra
2019,3571,International,Australian Capital Territory,University of Canberra
2019,18774,Domestic,Grand Total,The University of Western Australia
2019,523748,International,Grand Total,The University of Western Australia
2019,28472,Domestic,Multi-State,Australian Catholic University
2019,4632,International,Multi-State,Australian Catholic University
2019,2998,Domestic,Multi-State,Non-University Higher Education Providers
2019,170,International,Multi-State,Non-University Higher Education Providers
2019,1118,Domestic,New South Wales,Avondale University
2019,184,International,New South Wales,Avondale University
2019,32967,Domestic,New South Wales,Charles Sturt University
2019,10502,International,New South Wales,Charles Sturt University
2019,33001,Domestic,New South Wales,Macquarie University
2019,12263,International,New South Wales,Macquarie University
2019,34587,Domestic,New South Wales,Non-University Higher Education Providers
2019,29017,International,New South Wales,Non-University Higher Education Providers
2019,14314,Domestic,New South Wales,Southern Cross University
2019,5899,International,New South Wales,Southern Cross University
2019,23158,Domestic,New South Wales,The University of New England
2019,1937,International,New South Wales,The University of New England
2019,29581,Domestic,New South Wales,The University of Newcastle
2019,5947,International,New South Wales,The University of Newcastle
2019,39758,Domestic,New South Wales,The University of Sydney
2019,30076,International,New South Wales,The University of Sydney
2019,39026,Domestic,New South Wales,University of New South Wales
2019,24838,International,New South Wales,University of New South Wales
2019,30547,Domestic,New South Wales,University of Technology Sydney
2019,15579,International,New South Wales,University of Technology Sydney
2019,18916,Domestic,New South Wales,University of Wollongong
2019,15984,International,New South Wales,University of Wollongong
2019,41086,Domestic,New South Wales,Western Sydney University
2019,8172,International,New South Wales,Western Sydney University
2019,12,Domestic,Northern Territory,Charles Darwin University
2019,2023,International,Northern Territory,Charles Darwin University
2019,197174,Domestic,Queensland,Bond University
2019,3224,International,Queensland,Bond University
2019,2952,Domestic,Queensland,CQUniversity
2019,8726,International,Queensland,CQUniversity
2019,10260,Domestic,Queensland,Charles Darwin University
2019,66655,International,Queensland,Charles Darwin University
2019,18305,Domestic,Queensland,Griffith University
2019,9076,International,Queensland,Griffith University
2019,40548,Domestic,Queensland,James Cook University
2019,6693,International,Queensland,James Cook University
2019,14222,Domestic,Queensland,Non-University Higher Education Providers
2019,2001,International,Queensland,Non-University Higher Education Providers
2019,6795,Domestic,Queensland,Queensland University of Technology
2019,9829,International,Queensland,Queensland University of Technology
2019,42676,Domestic,Queensland,The University of Queensland
2019,20254,International,Queensland,The University of Queensland
2019,35008,Domestic,Queensland,University of Southern Queensland
2019,3017,International,Queensland,University of Southern Queensland
2019,22689,Domestic,Queensland,University of the Sunshine Coast
2019,3835,International,Queensland,University of the Sunshine Coast
2019,81149,Domestic,South Australia,Carnegie Mellon University Australia
2019,5174,International,South Australia,Flinders University
2019,20357,Domestic,South Australia,Private Universities and Non-University Higher Education Providers
2019,3515,International,South Australia,Private Universities and Non-University Higher Education Providers
2019,4928,Domestic,South Australia,The University of Adelaide
2019,9001,International,South Australia,The University of Adelaide
2019,19305,Domestic,South Australia,Torrens University Australia
2019,9610,International,South Australia,Torrens University Australia
2019,8187,Domestic,South Australia,University of South Australia
2019,6774,International,South Australia,University of South Australia
2019,13979,Domestic,South Australia,University of the Sunshine Coast
2019,34074,International,South Australia,University of the Sunshine Coast
2019,28372,Domestic,Tasmania,University of South Australia
2019,8163,International,Tasmania,University of South Australia
2019,28423,Domestic,Tasmania,University of Tasmania
2019,8163,International,Tasmania,University of Tasmania
2019,263184,Domestic,Victoria,Deakin University
2019,16193,International,Victoria,Deakin University
2019,45848,Domestic,Victoria,Federation University Australia
